matricule_camion;date_trans;kilometrage;type_camion;objectif_camion;capacite;heure_depart;jour_semaine;latitude;longitude;quantite_station;quantite_gps;conditions_meteo;weathercode_raw;type_trajet;city;zone;gouvernorat;delegation
9914 TU 215;2026-01-15T18:56:52.000Z;312;NPR;16;263.7600644;19;4;36.579828;10.492580;45.84;45.42;ensoleillé;0;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
966 TU 216;2026-01-15T16:56:24.000Z;388;NPR;16;478.6538462;17;4;35.722197;10.752540;40.30;58.85;nuageux;3;route_secondaire;الساحلين الشرقية;ville;ولاية المنستير;معتمدية الساحلين
8331 TU 215;2026-01-15T16:31:59.000Z;410;NPR;16;237.7567164;17;4;35.257067;10.652493;66.50;65.25;nuageux;3;autoroute;العيثة;ville;ولاية المهدية;معتمدية الجم
4601 TU 169;2026-01-15T14:00:11.000Z;577;NPR;16;249.5481728;15;4;33.685145;10.257012;85.64;86.69;peu nuageux;1;route_principale;الزركين;ville;ولاية قابس;معتمدية مارث
3278 TU 198;2026-01-15T13:31:07.000Z;174;NPR;16;534.4582245;14;4;33.347470;10.519960;35.92;37.49;ensoleillé;0;route_principale;مدنين;ville;ولاية مدنين;معتمدية مدنين االجنوبية
2767 TU 229;2026-01-15T13:18:00.000Z;933;NPR;16;164.6322055;14;4;36.579502;10.493510;75.57;70.12;nuageux;3;autoroute;تركي;ville;ولاية نابل;معتمدية قرمبالية
7024 TU 189;2026-01-15T13:11:17.000Z;444;NPR;16;153.7285442;14;4;35.626255;10.900370;83.12;82.24;nuageux;3;route_secondaire;مكنين;ville;ولاية المنستير;معتمدية المكنين
7903 TU 191;2026-01-15T12:29:33.000Z;693;IVC;27;46.93;13;4;35.257093;10.652413;181.36;177.84;peu nuageux;1;autoroute;العيثة;ville;ولاية المهدية;معتمدية الجم
9916 TU 215;2026-01-15T12:03:04.000Z;184;NPR;16;104.6408451;13;4;36.711793;10.180312;30.73;30.74;nuageux;3;route_principale;فوشانة;ville;ولاية بن عروس;معتمدية فوشانة
2486 TU 192;2026-01-15T11:52:06.000Z;285;NPR;16;439.8121212;12;4;35.962177;10.482068;50.38;50.93;nuageux;2;autoroute;سيدي بو علي;ville;ولاية سوسة;معتمدية سيدي بو علي
