matricule_camion;date_trans;type_camion;kilometrage;quantite_station;quantite_gps;carburant_estime;ecart_pompe_litres;ecart_estime_gps;ecart_estime_pct;statut
9914 TU 215;2026-01-15 18:56:52+00:00;NPR;312;45.84;45.42;46.73;0.42;-1.31;2.81;normal
966 TU 216;2026-01-15 16:56:24+00:00;NPR;388;40.3;58.85;66.97;18.55;-8.12;12.13;anomalie_critique
8331 TU 215;2026-01-15 16:31:59+00:00;NPR;410;66.5;65.25;66.44;1.25;-1.19;1.79;normal
4601 TU 169;2026-01-15 14:00:11+00:00;NPR;577;85.64;86.69;85.39;1.05;1.3;1.52;normal
3278 TU 198;2026-01-15 13:31:07+00:00;NPR;174;35.92;37.49;35.88;1.57;1.61;4.49;normal
2767 TU 229;2026-01-15 13:18:00+00:00;NPR;933;75.57;70.12;78.65;5.45;-8.53;10.84;anomalie_conso
7024 TU 189;2026-01-15 13:11:17+00:00;NPR;444;83.12;82.24;82.98;0.88;-0.74;0.89;normal
7903 TU 191;2026-01-15 12:29:33+00:00;IVC;693;181.36;177.84;181.39;3.52;-3.55;1.96;normal
9916 TU 215;2026-01-15 12:03:04+00:00;NPR;184;30.73;30.74;30.59;0.01;0.15;0.5;normal
2486 TU 192;2026-01-15 11:52:06+00:00;NPR;285;50.38;50.93;50.05;0.55;0.88;1.77;normal
2816 TU 173;2026-01-15 11:39:06+00:00;NPR;478;75.57;71.81;75.51;3.76;-3.7;4.9;normal
2156 TU 174;2026-01-15 10:44:48+00:00;NPR;475;65.49;62.28;66.92;3.21;-4.64;6.94;normal
2770 TU 229;2026-01-15 09:30:05+00:00;NPR;868;77.58;78.83;77.48;1.25;1.35;1.75;normal
2374 TU 173;2026-01-15 09:25:22+00:00;NPR;433;62.97;60.57;63.83;2.4;-3.26;5.11;normal
3278 TU 198;2026-01-15 09:10:20+00:00;NPR;389;68.01;68.47;68.06;0.46;0.41;0.6;normal
2222 TU 173;2026-01-15 09:08:53+00:00;NPR;203;34.76;36.44;34.73;1.68;1.71;4.92;normal
8331 TU 215;2026-01-15 09:06:57+00:00;NPR;378;62.97;58.63;63.16;4.34;-4.53;7.17;anomalie_conso
6062 TU 197;2026-01-15 09:06:16+00:00;NPR;262;45.34;49.04;48.55;3.7;0.49;1.02;normal
966 TU 216;2026-01-15 09:04:45+00:00;NPR;388;40.3;38.21;41.82;2.09;-3.61;8.63;anomalie_conso
8585 TU 202;2026-01-15 07:41:08+00:00;IVC;1282;151.13;138.88;404.09;12.25;-265.21;65.63;anomalie_critique
2155 TU 174;2026-01-15 07:39:35+00:00;NPR;240;36.78;40.15;41.34;3.37;-1.19;2.88;normal
601 TU 240;2026-01-15 07:34:49+00:00;IVC;1216;159.7;141.9;337.87;17.8;-195.97;58.0;anomalie_critique
8335 TU 215;2026-01-15 07:33:38+00:00;NPR;474;70.53;67.91;70.88;2.62;-2.97;4.19;normal
8333 TU 215;2026-01-15 07:09:42+00:00;NPR;253;42.32;42.1;42.41;0.22;-0.31;0.73;normal
597 TU 240;2026-01-15 05:36:06+00:00;IVC;530;166.25;146.2;171.87;20.05;-25.67;14.94;anomalie_critique
7444 TU 203;2026-01-15 05:05:27+00:00;IVC;420;134.01;136.8;133.85;2.79;2.95;2.2;normal
8936 TU 190;2026-01-15 04:49:12+00:00;IVC;553;178.85;181.3;184.56;2.45;-3.26;1.77;normal
3278 TU 198;2026-01-15 04:07:02+00:00;NPR;333;67.0;69.02;67.06;2.02;1.96;2.93;normal
8331 TU 215;2026-01-15 03:58:37+00:00;NPR;173;39.29;39.86;39.32;0.57;0.54;1.36;normal
9610 TU 204;2026-01-15 03:34:00+00:00;NPR;1239;88.16;57.12;115.77;31.04;-58.65;50.66;anomalie_critique
966 TU 216;2026-01-15 03:19:24+00:00;NPR;388;40.3;25.06;69.71;15.24;-44.65;64.05;anomalie_critique
4924 TU 199;2026-01-14 17:25:26+00:00;SURG;645;75.57;67.9;73.89;7.67;-5.99;8.11;anomalie_critique
8012 TU 204;2026-01-14 15:47:27+00:00;NPR;420;63.48;63.32;64.16;0.16;-0.84;1.31;normal
834 TU 181;2026-01-14 15:42:32+00:00;SURG;378;39.29;34.5;64.61;4.79;-30.11;46.6;anomalie_conso
8579 TU 232;2026-01-14 15:09:59+00:00;NPR;390;69.02;66.85;68.42;2.17;-1.57;2.29;normal
2486 TU 192;2026-01-14 15:08:35+00:00;NPR;339;50.38;50.11;50.84;0.27;-0.73;1.44;normal
6311 TU 197;2026-01-14 11:40:13+00:00;IVC;758;223.17;220.08;226.48;3.09;-6.4;2.82;normal
4601 TU 169;2026-01-14 10:59:34+00:00;NPR;802;70.53;71.8;70.56;1.27;1.24;1.76;normal
8317 TU 215;2026-01-14 10:28:58+00:00;NPR;280;51.39;53.19;51.65;1.8;1.54;2.99;normal
2156 TU 174;2026-01-14 09:46:32+00:00;NPR;356;60.96;59.64;61.32;1.32;-1.68;2.75;normal
9616 TU 204;2026-01-14 08:24:10+00:00;NPR;438;65.49;61.56;65.54;3.93;-3.98;6.08;normal
1181 TU 202;2026-01-14 07:43:57+00:00;NPR;534;85.64;80.29;87.49;5.35;-7.2;8.23;anomalie_conso
4935 TU 199;2026-01-14 07:24:49+00:00;SURG;307;55.42;53.18;55.61;2.24;-2.43;4.37;normal
